geoid,name,hh,hh_lt_5K,hh_5K_to_9999,hh_10K_to_14999,hh_15K_to_24999,hh_25K_to_34999,hh_35K_to_49999,hh_50K_to_74999,hh_75K_to_99999,hh_100K_or_more
36001,"Albany County, New York",115901,5188,9388,8934,19051,18084,22820,20024,7062,5350
36003,"Allegany County, New York",16955,1034,2095,2010,3578,3270,2696,1732,322,218
36005,"Bronx County, New York",423191,56317,65361,37006,73093,58045,60105,47593,16024,9647
36007,"Broome County, New York",81730,3368,8825,8121,14947,13591,15088,12166,3567,2057
36009,"Cattaraugus County, New York",30410,1548,3885,3636,7102,5505,4768,2889,603,474
36011,"Cayuga County, New York",29066,1269,3068,3149,5772,4960,5734,3887,787,440
36013,"Chautauqua County, New York",53667,2951,7244,6526,10964,8969,9403,5761,1074,775
36015,"Chemung County, New York",35184,1671,4377,3594,7088,5949,6528,4216,1060,701
36017,"Chenango County, New York",19195,778,1998,2032,4397,3484,3457,2167,568,314
36019,"Clinton County, New York",45627,18250,2933,2906,5901,5130,5315,3697,943,552
36021,"Columbia County, New York",23730,1026,2379,2280,4254,3958,4554,3382,1037,860
36023,"Cortland County, New York",17315,907,1857,1768,3477,3154,3400,1967,487,298
36025,"Delaware County, New York",17687,866,2061,2139,4096,3143,2880,1775,403,324
36027,"Dutchess County, New York",89627,2133,5125,5008,11027,11802,18302,21801,8954,5475
36029,"Erie County, New York",376019,23342,43539,34995,66810,59775,68337,52751,15614,10856
36031,"Essex County, New York",13711,756,1748,1526,2825,2528,2239,1545,336,208
36033,"Franklin County, New York",16310,1120,2373,2124,3532,2802,2450,1485,290,134
36035,"Fulton County, New York",21036,1066,2829,2593,4547,3788,3608,1878,467,260
36037,"Genesee County, New York",21545,647,1848,2008,4043,3768,4673,3455,749,354
36039,"Greene County, New York",16538,743,1898,1638,3039,3015,3166,2104,533,402
36041,"Hamilton County, New York",2160,96,212,259,609,378,355,180,37,34
36043,"Herkimer County, New York",24974,1204,3723,2993,5401,4329,4242,2396,442,244
36045,"Jefferson County, New York",37893,1756,4086,4125,8217,7144,6539,4388,977,661
36047,"Kings County, New York",827679,88975,107230,70317,137608,118349,126452,106814,40917,31017
36049,"Lewis County, New York",9269,484,1182,935,1914,1827,1740,878,183,126
36051,"Livingston County, New York",21211,624,1716,1880,3971,3854,4368,3467,821,510
36053,"Madison County, New York",23675,785,2377,2060,4604,4320,4609,3460,866,594
36055,"Monroe County, New York",272193,11990,22374,19520,40267,40495,53070,52583,18779,13115
36057,"Montgomery County, New York",20109,939,2623,2384,4480,3594,3392,1977,429,291
36059,"Nassau County, New York",431148,9577,17114,16089,37824,44171,68571,104436,60087,73279
36061,"New York County, New York",716811,62042,76111,49267,97535,92639,103545,96623,46313,92736
36063,"Niagara County, New York",84688,4093,9759,7951,15508,14837,16547,11632,3048,1313
36065,"Oneida County, New York",92263,5199,10441,9066,18437,15959,16526,11610,3087,1938
36067,"Onondaga County, New York",177950,8364,16819,14115,29502,28898,34342,30364,9173,6373
36069,"Ontario County, New York",34930,935,2734,2719,5965,6094,7701,6039,1664,1079
36071,"Orange County, New York",101730,3729,7126,6598,13284,14364,20548,22443,8360,5278
36073,"Orleans County, New York",14416,554,1303,1248,3017,2831,2968,1830,450,215
36075,"Oswego County, New York",42347,1895,4535,4063,7685,7328,8074,6454,1603,710
36077,"Otsego County, New York",21701,1038,2538,2491,4738,3887,3507,2325,699,478
36079,"Putnam County, New York",27963,557,1040,982,1809,2909,5296,7704,4141,3525
36081,"Queens County, New York",718377,39128,59967,48834,106915,111540,134013,130702,52296,34982
36083,"Rensselaer County, New York",57620,2595,4630,4845,10077,9333,11745,9852,2932,1611
36085,"Richmond County, New York",130216,5507,8665,7102,13827,15411,24038,30392,14406,10868
36087,"Rockland County, New York",84891,2201,3928,3303,7502,8813,13901,20466,11965,12812
36089,"St. Lawrence County, New York",37877,2334,5323,4353,7668,6373,6220,4177,920,509
36091,"Saratoga County, New York",66485,1774,4315,4409,10109,10768,14302,13564,4545,2699
36093,"Schenectady County, New York",59165,2351,5114,4919,10641,9787,11444,9578,3221,2110
36095,"Schoharie County, New York",11293,450,1284,1220,2438,2152,1909,1294,379,167
36097,"Schuyler County, New York",6812,251,725,718,1597,1427,1244,647,128,75
36099,"Seneca County, New York",12318,434,1131,1270,2403,2234,2508,1684,487,167
36101,"Steuben County, New York",37311,1666,4462,4168,8141,6382,6424,4290,1102,676
36103,"Suffolk County, New York",424623,9937,18812,18814,41191,48648,79067,109389,52959,45806
36105,"Sullivan County, New York",24588,1244,2627,2601,4648,3904,4621,3483,812,648
36107,"Tioga County, New York",18774,697,1586,1713,3364,3129,3788,2952,1103,442
36109,"Tompkins County, New York",33341,2161,3469,3509,6037,5030,5590,4480,1533,1532
36111,"Ulster County, New York",60639,2163,4972,4465,9564,9931,12456,11176,3705,2207
36113,"Warren County, New York",22508,786,2111,2056,4078,4063,4418,3128,1137,731
36115,"Washington County, New York",20315,778,1963,2041,3959,3951,4193,2591,560,279
36117,"Wayne County, New York",32106,1155,2822,2711,5358,5219,7070,5470,1582,719
36119,"Westchester County, New York",319657,10925,19258,15730,32774,35362,50024,63313,35377,56894
36121,"Wyoming County, New York",13925,475,1278,1326,3114,2733,2964,1540,313,182
36123,"Yates County, New York",8444,321,1124,939,1860,1578,1393,875,230,124
